,Population,,,,,,Housing Units,,,,,
Talbot County,30549,25604,23682,21578,19428,18784,14697,11230,9070,7917,6624,6092
Washington County,121393,113086,103829,91219,78886,68838,47448,42391,34585,29091,23302,18351
Wicomico County,74339,64540,54236,49050,39641,34530,30108,24672,18430,16020,12662,10101
Worcester County,35028,30889,24442,23733,23148,21245,41800,29863,13751,9852,9341,7042
Baltimore city,736014,786741,905787,939024,949708,859100,303706,302671,305530,290155,277880,236442
,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,
Barnstable County,186605,147925,96656,70286,46805,37295,135192,99946,65676,54703,30306,21861
Berkshire County,139352,145110,149402,142135,132966,122273,64324,59245,51321,48690,41710,35481
Bristol County,506325,474641,444301,398488,381569,364637,201235,176657,148106,133675,116666,100710
Dukes County,11639,8942,6117,5829,5633,5669,11604,8819,5510,5340,3987,3799
Essex County,670080,633688,637887,568831,522384,496313,271977,244357,216201,190231,164567,146960
Franklin County,70092,64317,59210,54864,52747,49453,30394,26832,21576,19186,17470,15228
Hampden County,456310,443018,459050,429353,367971,332107,180025,167229,151498,138904,107793,92240
Hampshire County,146568,138813,123981,103229,87594,72461,53068,46641,35951,30308,23490,19200
Middlesex County,1398468,1367034,1398397,1238742,1064569,971390,543796,492966,431168,366946,296983,258613
Nantucket County,6012,5087,3774,3559,3484,3401,7021,4784,3063,2817,2503,1645
Norfolk County,616087,606587,604854,510256,392308,325180,236816,212827,181101,149789,112258,89405
Plymouth County,435276,405437,333314,248449,189468,168824,168555,151299,110662,95684,73933,64391
Suffolk County,663906,650142,735190,791329,896615,863248,289276,276731,264471,268600,249289,236340
Worcester County,709705,646352,637037,583228,546401,504470,279428,239835,204096,186125,159230,135379
,,,,,,,,,,,,
Michigan,,,,,,,,,,,,
Alcona County,10145,9740,7113,6352,5856,5463,10414,9376,6267,4986,3721,1766
Alger County,8972,9225,8568,9250,10007,10167,5775,5067,3906,3820,3681,2836
Allegan County,90509,81555,66575,57729,47493,41839,36395,31864,23679,20764,17757,14062
Alpena County,30605,32315,30708,28556,22189,20766,14431,13977,10468,9584,6959,5809
Antrim County,18185,16194,12612,10373,10721,10964,13145,10781,7380,6693,4794,4170
Arenac County,14931,14706,11149,9860,9644,9233,8891,7695,5340,4669,3990,2911
Baraga County,7954,8484,7789,7151,8037,9356,4684,4270,3112,3049,2771,2430
Barry County,50057,45781,38166,31738,26183,22613,20887,19149,14733,12723,10569,8553
Bay County,111723,119881,117339,107042,88461,74981,44234,43395,36579,32295,26417,20514
Benzie County,12200,11205,8593,7834,8306,7800,8557,7509,5869,5154,4201,3435
Berrien County,161378,171276,163940,149865,115702,89117,69532,68758,59669,53896,42025,29704
Branch County,41502,40188,37906,34903,30202,25845,18449,17997,13865,12391,10533,8879
Calhoun County,135982,141579,141963,138858,120813,94206,55619,54248,46856,44005,36399,28406
Cass County,49477,49499,43312,36932,28185,21910,22644,21583,17276,14762,11807,8992
Charlevoix County,21468,19907,16541,13421,13475,13031,13119,11117,7617,6832,5969,4523
Cheboygan County,21398,20649,16573,14550,13731,13644,14090,12488,8924,7560,6566,4768
Chippewa County,34604,29029,32412,32655,29206,27807,18023,16411,13071,12263,10458,7634
Clare County,24952,23822,16695,11647,10253,9163,19135,18544,12802,8033,5286,2963
Clinton County,57883,55893,48492,37969,31195,26671,20959,18468,14100,11178,9331,7754
Crawford County,12260,9465,6482,4971,4151,3765,8727,7489,4010,2388,2313,1288
Delta County,37780,38947,35924,34298,32913,34037,17928,16905,13185,11917,10539,9216
Dickinson County,26831,25341,23753,23917,24844,28731,12902,11250,9417,8702,8141,7706
Eaton County,92879,88337,68892,49684,40023,34124,35517,31522,20849,15780,12776,10584
Emmet County,25040,22992,18331,15904,16534,15791,14731,12506,8904,7951,7691,5748
Genesee County,430459,450449,445589,374313,270963,227944,170808,162989,136381,112876,80652,62779
Gladwin County,21896,19957,13471,10769,9451,9385,14885,13509,8855,6841,4218,2808
Gogebic County,18052,19686,20676,24370,27053,31797,10997,10112,8906,9287,8518,8328
Grand Traverse County,64273,54899,39175,33490,28598,23390,28740,23613,15447,12870,9390,7151
Gratiot County,38982,40448,39246,37012,33429,32205,14699,14278,12298,11584,10429,9397
Hillsdale County,43431,42071,37171,34742,31916,29092,18547,17095,13488,12054,10898,9373
Houghton County,35446,37872,34652,35654,39771,47631,17296,16470,14081,13477,14054,13374
Huron County,34951,36459,34083,34006,33149,32584,19755,17852,14647,13889,11685,9287
Ingham County,281912,275520,261039,211296,172941,130616,108542,99517,81140,64125,50953,38491
Ionia County,57024,51815,45848,43132,38158,35710,19674,17612,14207,13054,11771,10573
Iosco County,30209,28349,24905,16505,10906,8560,19517,18006,13937,8946,7716,3651
Iron County,13175,13635,13813,17184,17692,20243,9039,7739,6874,7106,5765,5427
Isabella County,54624,54110,44594,35348,28964,25982,19950,18167,12447,10018,8378,7010
Jackson County,149756,151495,143274,131994,107925,93108,57979,55740,45011,41160,33254,27764
Kalamazoo County,223411,212378,201550,169712,126707,100085,88955,79813,62529,52437,38853,29768
Kalkaska County,13497,10952,5372,4382,4597,5159,9151,7596,3109,3801,2360,1683
Kent County,500631,444506,411044,363187,288292,246338,192698,165282,131820,113141,89191,72903
Keweenaw County,1701,1963,2264,2417,2918,4004,2257,2149,1744,1918,1721,1449
Lake County,8583,7711,5661,5338,5257,4798,12114,10518,6551,5434,3993,2613
Lapeer County,74768,70038,52361,41926,35794,32116,26445,23026,15699,12872,10334,8398
Leelanau County,16527,14007,10872,9321,8647,8436,11171,9073,6327,5686,3985,3243
Lenawee County,91476,89948,81951,77789,64629,53110,35104,33750,27760,25621,21103,16666
Livingston County,115645,100289,58967,38233,26725,20863,41863,34951,20591,15946,11307,8740
Luce County,5763,6659,6789,7827,8147,7423,3594,3574,2503,2893,1886,1596
Mackinac County,10674,10178,9660,10853,9287,9438,9254,7624,6011,6168,4953,3577
Macomb County,717400,694600,625309,405804,184961,107638,274843,236602,176491,113362,52306,29473
Manistee County,21265,23019,20393,19042,18524,18450,13330,12235,9460,8642,7428,6148
Marquette County,70887,74101,64686,56154,47654,47144,31049,30530,21898,18219,14449,12367
Mason County,25537,26365,22612,21929,20474,19378,14119,13228,10491,9515,8027,6672
Mecosta County,37308,36961,27992,21051,18968,16902,17274,15516,11092,8058,6901,5355
Menominee County,24920,26201,24587,24685,25299,24883,12509,11545,9258,8391,7916,6813
Midland County,75651,73578,63769,51450,35662,27094,29343,26355,19753,15290,10423,7352
Missaukee County,12147,10009,7126,6784,7458,8034,7112,6116,3752,3080,2725,2264
Monroe County,133600,134659,119215,101120,75666,58620,48312,45361,34725,31159,23664,17628
Montcalm County,53059,47555,39660,35795,31013,28581,22817,20886,16428,14378,11798,9929
Montmorency County,8936,7492,5247,4424,4125,3840,8791,7886,4830,4544,2658,1620
Muskegon County,158983,157589,157426,149943,121545,94501,61962,58241,49895,46447,38420,28012
Newaygo County,38202,34917,27992,24160,21567,19286,20105,18306,12982,10773,8767,6908
Oakland County,1083592,1011793,907871,690259,396001,254068,432684,373250,275652,204632,120096,74653
Oceana County,22454,22002,17984,16547,16105,14812,12857,11394,8257,7585,6129,5172
Ogemaw County,18681,16436,11903,9680,9345,8720,13977,12977,9262,5794,4927,3041
Ontonagon County,8854,9861,10548,10584,10282,11359,5332,5042,4334,4150,3800,3161
Osceola County,20146,18928,14838,13595,13797,13309,11444,9927,6766,5413,4913,4111
Oscoda County,7842,6858,4726,3447,3134,2543,8112,7308,5014,2691,2729,813
Otsego County,17957,14993,10422,7545,6435,5827,10669,9078,5150,4210,2958,1863
Ottawa County,187768,157174,128181,98719,73751,59660,66624,53960,38411,30766,23715,18256
Presque Isle County,13743,14267,12836,13117,11996,12250,8917,8361,5706,5411,4370,3335
Roscommon County,19776,16374,9892,7200,5916,3668,19881,17925,13210,8059,5679,2572
Saginaw County,211946,228059,219743,190752,153515,130468,81931,79543,65817,55905,44491,35802
St. Clair County,145607,138802,120175,107201,91599,76222,57494,51903,41553,37877,29996,24920
St. Joseph County,58913,56083,47392,42332,35071,31749,24242,22479,17816,15766,12851,11257
Sanilac County,39928,40789,35181,32314,30837,30114,19465,18492,14841,13721,11879,9613
Schoolcraft County,8302,8575,8226,8953,9148,9524,5487,4974,3864,3632,3626,2655
Shiawassee County,69770,71140,63075,53446,45967,41207,25833,24464,19401,16805,14212,11915
Tuscola County,55498,56961,48603,43305,38258,35694,21231,20052,15523,13701,11861,10070
Van Buren County,70060,66814,56173,48395,39184,35111,31530,28801,23903,22349,17237,13820
Washtenaw County,282937,264740,234103,172440,134606,80810,111256,98167,72340,51408,36613,24116
Wayne County,2111687,2337843,2670368,2666297,2435235,2015623,832710,874995,871342,835249,685625,541523
Wexford County,26360,25102,19717,18466,18628,17976,12862,11575,7845,7211,6592,5469
,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,
Aitkin County,12425,13404,11403,12162,14327,17865,12934,11124,7798,7922,7338,5264
Anoka County,243641,195998,154712,85916,35579,22443,85519,62904,40857,23193,10550,6343
Becker County,27881,29336,24372,23959,24836,26562,15563,15430,10912,10844,8653,7756
Beltrami County,34384,30982,26373,23425,24962,26107,14670,13099,9590,9420,8618,7335
Benton County,30185,25187,20841,17287,15911,16106,11521,8812,6018,4804,4146,3779
Big Stone County,6285,7716,7941,8954,9607,10447,3192,3493,3024,3014,2857,2750
Blue Earth County,54044,52314,52322,44385,38327,36203,20358,19381,15767,13542,11206,10012
Brown County,26984,28645,28887,27676,25895,25544,10814,10469,9070,8310,7464,6559
Carlton County,29259,29936,28072,27932,24584,24212,12342,11782,9044,8641,7432,6501
Carver County,47915,37046,28331,21358,18155,17606,17449,12585,8266,6250,5244,4592
Cass County,21791,21050,17323,16720,19468,20646,18863,17586,11004,12604,10463,5952
Chippewa County,13228,14941,15109,16320,16739,16927,5755,6120,5308,5313,4957,4352
Chisago County,30521,25717,17492,13419,12669,13124,11946,9561,6430,5282,4469,4099
Clay County,50422,49327,46608,39080,30363,25337,18546,17811,13950,11225,8331,6380
Clearwater County,8309,8761,8013,8864,10204,11153,4008,3824,3167,3256,3280,2983
Cook County,3868,4092,3423,3377,2900,3030,4312,3456,2360,2067,1699,1492
Cottonwood County,12694,14854,14887,16166,15763,16143,5495,5804,5130,5175,4696,4052
Crow Wing County,44249,41722,34826,32134,30875,30226,29916,25688,19799,18290,14936,9469
Dakota County,275227,194279,139808,78303,49019,39660,102707,66872,39224,21554,13391,9924
Dodge County,15731,14773,13037,13259,12624,12931,5771,5531,4128,4008,3645,3360
Douglas County,28674,27839,22910,21313,21304,20369,14590,13179,9073,8542,7428,6299
Faribault County,16937,19714,20896,23685,23879,23941,7416,7950,7232,7622,6936,6233
Fillmore County,20777,21930,21916,23768,24465,25830,8356,8445,7637,7673,7469,7007
Freeborn County,33060,36329,38064,37891,34517,31780,13783,13815,12412,11875,10039,8304
Goodhue County,40690,38749,34804,33035,32118,31564,15936,14368,11436,10559,9819,8635
Grant County,6246,7171,7462,8870,9542,9828,3178,3192,2908,3026,2905,2634
Hennepin County,1032431,941411,960080,842854,676579,568899,443583,379503,320479,271784,208122,170721
Houston County,18497,18382,17556,16588,14435,14735,7257,6673,5486,5001,4313,3961
Hubbard County,14939,14098,10583,9962,11085,11085,10042,9103,6062,6529,5754,3632
Isanti County,25921,23600,16560,13530,12123,12950,9693,8372,5574,4404,3640,3390
Itasca County,40863,43069,35530,38006,33321,32996,22494,21221,14944,15675,11061,9381
Jackson County,11677,13690,14352,15501,16306,16805,5121,5525,4918,4954,4682,4218
Kanabec County,12802,12161,9775,9007,9192,9651,6098,5485,3735,3268,2933,2671
Kandiyohi County,38761,36763,30548,29987,28644,26524,16669,15100,11109,10106,8631,6930
Kittson County,5767,6672,6853,8343,9649,10717,2865,3018,2747,2922,2865,2623
Koochiching County,16299,17571,17131,18190,16910,16930,7825,7241,6277,5876,5969,4822
Lac qui Parle County,8924,10592,11164,13330,14545,15509,3955,4272,3984,4214,4116,3776
Lake County,10415,13043,13351,13702,7781,6956,6776,6110,4942,5821,3328,2282
Lake of the Woods County,4076,3764,3987,4304,4955,5975,3050,2709,1730,2047,1849,1686
Le Sueur County,23239,23434,21332,19906,19088,19227,9785,9509,7672,6818,6207,5397
Lincoln County,6890,8207,8143,9651,10150,10797,3050,3298,2882,3122,2955,2706
Lyon County,24789,25207,24273,22655,22253,21569,9675,9196,7526,6830,6434,5404
McLeod County,32030,29657,27662,24401,22198,21380,12391,10916,8767,7469,6507,5579
Mahnomen County,5044,5535,5638,6341,7059,8054,2505,2410,2148,2104,1925,1879
Marshall County,10993,13027,13060,14262,16125,18364,5049,5253,4660,4674,4631,4507
Martin County,22914,24687,24316,26986,25655,24656,9847,9784,8451,8562,7482,6393
Meeker County,20846,20594,18387,18887,18966,19277,9139,8539,6598,6207,5656,4857
Mille Lacs County,18670,18430,15703,14560,15165,15558,9065,8290,6055,5417,5507,4942
Morrison County,29604,29311,26949,26641,25832,27473,12434,11619,9055,8448,7590,6908
Mower County,37385,40390,44919,48498,42277,36113,15831,15679,14364,14481,11964,9482
Murray County,9660,11507,12508,14743,14801,15060,4611,4679,4236,4384,3970,3524
Nicollet County,28076,26929,24518,23196,20929,18282,9963,8959,6843,5897,5091,4124
Nobles County,20098,21840,23208,23365,22435,21215,8094,8212,7386,6913,6366,5328
Norman County,7975,9379,10008,11253,12909,14746,3648,4018,3722,3824,3827,3677
Olmsted County,106470,92006,84104,65532,48228,42658,41603,34345,26639,20008,13530,10473
Otter Tail County,50714,51937,46097,48960,51320,53192,29295,26953,20486,20121,17111,15123
Pennington County,13306,15258,13266,12468,12965,12913,5682,5981,4451,4040,3854,3325
Pine County,21264,19871,16821,17004,18223,21478,12738,10299,7102,6502,6302,6147
Pipestone County,10491,11690,12791,13605,14003,13794,4387,4636,4286,4255,3897,3442
Polk County,32498,34844,34435,36182,35900,37734,14275,14766,12343,12159,10728,9586
Pope County,10745,11657,11107,11914,12862,13544,5836,5658,4500,4527,4149,3690
Ramsey County,485765,459784,476255,422525,355332,309935,201016,176995,153623,130468,105729,89587
Red Lake County,4525,5471,5388,5830,6806,7413,1899,2041,1675,1785,1801,1743
Redwood County,17254,19341,20024,21718,22127,22290,7144,7388,6718,6730,6334,5525
Renville County,17673,20401,21139,23249,23954,24625,7442,7905,7190,7135,6704,6010
Rice County,49183,46087,41582,38988,36235,32160,17520,15667,12330,10574,9148,7881
Rock County,9806,10703,11346,11864,11278,10933,3963,4095,3680,3512,3212,2818
Roseau County,15026,12574,11569,12154,14505,15103,6236,5034,3983,4151,4068,3777
St. Louis County,198213,222229,220693,231588,206062,206917,95403,95324,80859,81522,69414,61979
Scott County,57846,43784,32423,21909,16486,15585,20302,14187,8789,6146,4817,4000
Sherburne County,41945,29908,18344,12861,10661,10456,14964,10338,6448,4664,3434,2657
Sibley County,14366,15448,15845,16228,15816,16625,5625,5628,4991,4769,4431,4084
Stearns County,118791,108161,95400,80345,70681,67200,43806,35961,26089,21395,17608,14793
Steele County,30729,30328,26931,25029,21155,19749,11840,11255,8758,7698,6065,5048
Stevens County,10634,11322,11218,11262,11106,11039,4108,4222,3594,3324,3053,2694
Swift County,10724,12920,13177,14936,15837,15469,4795,5182,4717,4656,4494,3826
Todd County,23363,24991,22114,23119,25420,27438,11234,10691,8253,8218,7762,7005
Traverse County,4463,5542,6254,7503,8053,8283,2220,2409,2298,2484,2363,2077
Wabasha County,19744,19335,17224,17007,16878,17653,8205,7604,5827,5208,5101,4761
Wadena County,13154,14192,12412,12199,12806,12772,5801,5438,4280,3943,3738,3245
Waseca County,18079,18448,16663,16041,14957,15186,7011,6884,5406,5071,4564,3979
Washington County,145896,113571,83003,52432,34544,26430,51648,37182,22765,16111,11022,8669
Watonwan County,11682,12361,13298,14460,13881,13902,4886,4949,4583,4465,4094,3607
Wilkin County,7516,8454,9389,10650,10567,10475,3140,3285,3041,3071,2858,2499
Winona County,47828,46256,44409,40937,39841,37795,17630,16503,13682,12516,11760,10270
Wright County,68710,58681,38933,29935,27716,27550,26353,21795,14238,11200,9245,7583
Yellow Medicine County,11684,13653,14523,15523,16279,16917,4983,5386,5032,5081,4698,4273
,,,,,,,,,,,,
Mississippi,,,,,,,,,,,,
Adams County,35356,38071,37293,37730,32256,27238,14715,13589,11949,11109,9556,7769
Alcorn County,31722,33036,27179,25282,27158,26969,13704,12805,9376,8107,7939,6964
Amite County,13328,13369,13763,15573,19261,21892,5695,5279,4339,4352,5246,5390
Attala County,18481,19865,19570,21335,26652,30227,7674,7621,6590,6393,7411,7233
Benton County,8046,8153,7505,7723,8793,10429,3379,3059,2631,2190,2307,2484
Bolivar County,41875,45965,49409,54464,63004,67574,14514,14561,13829,15508,18319,19191
Calhoun County,14908,15664,14623,15941,18369,20893,6260,6039,4885,4670,5033,5090
Carroll County,9237,9776,9397,11177,15499,20651,3948,3581,2993,3184,3884,4893
Chickasaw County,18085,17851,16805,16891,18951,21427,6997,6345,5358,4902,5309,5274
Choctaw County,9071,8996,8440,8423,11009,13548,3539,3416,2849,2591,3102,3212
Claiborne County,11370,12279,10086,10845,11944,12810,4099,4398,3047,2862,3283,3691
Clarke County,17313,16945,15049,16493,19362,20596,7065,6465,5077,5005,5200,4998
Clay County,21120,21082,18840,18933,17757,19030,7737,7306,5663,5433,5008,4888
Coahoma County,31665,36918,40447,46212,49361,48333,11495,12937,12736,13087,14574,14035
Copiah County,27592,26503,24764,27051,30493,33974,10260,9571,7654,7691,8620,8711
Covington County,16527,15927,14002,13637,16036,17030,6535,5770,4254,4048,4203,3994
DeSoto County,67910,53930,35885,23891,24599,26663,24472,17144,10205,6253,6705,6854
Forrest County,68314,66018,57849,52722,45055,34901,27740,25024,18961,15958,13417,9436
Franklin County,8377,8208,8011,9286,10929,12504,3555,3409,2781,2909,3145,3267
George County,16673,15297,12459,11098,10012,8704,6663,5726,3924,3084,2638,2008
Greene County,10220,9827,8545,8366,8215,9512,3864,3419,2718,2252,2110,2077
Grenada County,21555,21115,19854,18409,18830,19052,8712,7698,6509,5592,5398,4586
Hancock County,31760,24496,17387,14039,11891,11328,16561,12517,7330,6413,4505,3620
Harrison County,165365,157665,134582,119489,84073,50799,67813,57954,41541,35227,23164,14062
Hinds County,254441,250998,214973,187045,142164,107273,99860,91582,67261,53613,40111,27404
Holmes County,21604,22970,23120,27096,33301,39710,7972,7791,7097,7673,9114,9815
Humphreys County,12134,13931,14601,19093,23115,26257,4231,4739,4233,5103,6605,7111
